sids,enrolled_courses
63d0dc505c997db16df1ce9c29a75f50,""""""
5b0b8fea99f6e1a8166134725883d0b2,""""""
a0f7604f5039798d871af4ff67be33ee,""""""
0bb2883dd42d4680a988fb322e1237ed,""""""
4ddb3bcb1bb48459395b89b5d925654b,""""""
10e04544269139941906bff96835218e,""""""
58fe7cd76e502e7bf652b45b1d2b86f4,""""""
5fc1048821c677b8ae46db103d80cc50,""""""
f89c82b75b8833e4dd724704192f57f8,""""""
b2de215d5e0f88f389ec3f13dbe29ea7,"[""63c1c16e7b06c1ce16f01c0ac833ea78""]"
1048b9f59102d1fe56034179c38b844e,""""""
12aa1f5c56d32b9476e9f4d840c33b32,""""""
0969fd5bfc091bf60ec1887e7e99c263,""""""
7d95d8d062ed33e1e292b4d5396531e0,""""""
dc6d91c889962e271f307c09191269b2,""""""
03254abef7c7e87abb62276039c0f3ed,""""""
49b9ad3b5671eaa016cc7333e6574071,"[""63c1c16e7b06c1ce16f01c0ac833ea78"",""f9515ee4736d770719618ae8715b7a02""]"
df72f0dcd61504434c9e173e6916d063,""""""
b8d9d395e970996796262afe9f6adec3,""""""
b5b435c6aa2f23adf7b150d7675c8f0e,""""""
bfa7cc4bf3e64b3e5211bee587736fb8,""""""
b6db278a14ca58a7668db6d7f45c58c1,""""""
98bba94df09511ba3f1ed33f43280911,""""""
3b0e1ee4d13731b94bd3df3283503d06,""""""
64bd7f34831e79aab072c936c0f40d4f,""""""
35a108edfc7348d9e4ab20c5a425987a,""""""
6befde01f1ff0a3ebd5e0308eafd324b,""""""
f5df9e25ed746bcf3b622b731f859d43,""""""
b2686efe0b5c332084604324aa9c9982,""""""
348a8409138d7540dcc4afe8b54bbe43,""""""
b11acfcc95dc803b4df69bd6d58cc309,""""""
13a8d6d8ffc58ca8dfa015feaae8c754,""""""
da66fc2300cf7c31cc7861a64e26bf70,""""""
365e97dd28b2f9de0c4eea72bb57ec31,""""""
65917cb7a1f28a08e43ae0d407f60164,""""""
e22295e350d6eba31e594be9f731e3fb,""""""
4cde609ffde795b076524fad38dfe7b0,""""""
c1674c8625872783ae201a98ce39940e,""""""
078306a2aa5cc97dd3eb53b7ae65a146,""""""
fe08923213bc129c266d9f3a4d3e917e,""""""
0769cb7d49daa4870ee737c4b7d73107,"[""df4b5cec8ecaef0e1308931ede355f99""]"
98e3a3433fe6f2da97e56e1bc4a053e3,""""""
df522c942107f0d99bf6524c927ae5dd,""""""
62546c82944ba88416662c90e0bbd5e5,""""""
7596ec367ee3236fb84fa82f880e69a3,""""""
36dd45489388c90efb1ed84e4a0a69f5,""""""
cad0416a6e64adde6fd5da2d850e3fdc,""""""
c987dc857bb14fa1287b8b864c4972d8,""""""
